ema_period,atr1,atr2,Equity Final [$],Return [%],# Trades,Win Rate [%]
1,1.0,2.0,4902750.0,0.0,0,
1,1.0,3.0,4902750.0,0.0,0,
1,1.0,4.0,4902750.0,0.0,0,
1,2.0,2.0,4902750.0,0.0,0,
1,2.0,3.0,4902750.0,0.0,0,
1,2.0,4.0,4902750.0,0.0,0,
1,3.0,2.0,4902750.0,0.0,0,
1,3.0,3.0,4902750.0,0.0,0,
1,3.0,4.0,4902750.0,0.0,0,
2,1.0,2.0,4902750.0,0.0,0,
2,1.0,3.0,4902750.0,0.0,0,
2,1.0,4.0,4902750.0,0.0,0,
2,2.0,2.0,4902750.0,0.0,0,
2,2.0,3.0,4902750.0,0.0,0,
2,2.0,4.0,4902750.0,0.0,0,
2,3.0,2.0,4902750.0,0.0,0,
2,3.0,3.0,4902750.0,0.0,0,
2,3.0,4.0,4902750.0,0.0,0,
3,1.0,2.0,4774567.129287152,-2.6145096264922416,1,0.0
3,1.0,3.0,4902750.0,0.0,0,
3,1.0,4.0,4902750.0,0.0,0,
3,2.0,2.0,4685681.329287151,-4.427488056964951,1,0.0
3,2.0,3.0,4902750.0,0.0,0,
3,2.0,4.0,4902750.0,0.0,0,
3,3.0,2.0,4596795.529287151,-6.240466487437641,1,0.0
3,3.0,3.0,4902750.0,0.0,0,
3,3.0,4.0,4902750.0,0.0,0,
4,1.0,2.0,4563459.052488588,-6.920421141429039,5,40.0
4,1.0,3.0,4902750.0,0.0,0,
4,1.0,4.0,4902750.0,0.0,0,
4,2.0,2.0,4501915.472059432,-8.175708080986539,1,0.0
4,2.0,3.0,4902750.0,0.0,0,
4,2.0,4.0,4902750.0,0.0,0,
4,3.0,2.0,4346298.572059433,-11.349781815115334,1,0.0
4,3.0,3.0,4902750.0,0.0,0,
4,3.0,4.0,4902750.0,0.0,0,
5,1.0,2.0,4271390.795416078,-12.877654471142163,9,22.22222222222222
5,1.0,3.0,4787934.635972865,-2.341856387275204,1,0.0
5,1.0,4.0,4902750.0,0.0,0,
5,2.0,2.0,4105461.3236641004,-16.262070803852932,4,0.0
5,2.0,3.0,4723366.435972865,-3.6588356336165475,1,0.0
5,2.0,4.0,4902750.0,0.0,0,
5,3.0,2.0,4718252.116561066,-3.763150954850515,4,25.0
5,3.0,3.0,4658798.235972865,-4.975814879957889,1,0.0
5,3.0,4.0,4902750.0,0.0,0,
6,1.0,2.0,4154253.4014585097,-15.266872643750757,12,25.0
6,1.0,3.0,4569457.220417713,-6.798078212886384,3,33.33333333333333
6,1.0,4.0,4902750.0,0.0,0,
6,2.0,2.0,4331908.498593542,-11.643292058670301,6,33.33333333333333
6,2.0,3.0,4517203.577254527,-7.863880939176436,1,0.0
6,2.0,4.0,4902750.0,0.0,0,
6,3.0,2.0,4753164.009574337,-3.051062983543176,6,50.0
6,3.0,3.0,4392876.71058786,-10.39974074574759,1,0.0
6,3.0,4.0,4902750.0,0.0,0,
7,1.0,2.0,4073210.370546026,-16.91988433948241,16,31.25
7,1.0,3.0,4600475.203089438,-6.16541322544616,4,50.0
7,1.0,4.0,4638463.797704556,-5.390570644953219,1,0.0
7,2.0,2.0,4306108.136342471,-12.169534723523096,7,42.857142857142854
7,2.0,3.0,4529611.054847414,-7.610809140841085,1,0.0
7,2.0,4.0,4529611.054847414,-7.610809140841085,1,0.0
7,3.0,2.0,5104772.738316738,4.120600444989813,7,71.42857142857143
7,3.0,3.0,4420758.31199027,-9.83104763672897,1,0.0
7,3.0,4.0,4420758.31199027,-9.83104763672897,1,0.0
8,1.0,2.0,4069293.5080957133,-16.999775470996617,20,35.0
8,1.0,3.0,4397087.8877964495,-10.313846559656326,5,40.0
8,1.0,4.0,4528269.511112384,-7.638172227578735,2,0.0
8,2.0,2.0,4331757.677811001,-11.646368307358086,11,45.45454545454545
8,2.0,3.0,4254376.87903988,-13.224682493704965,2,0.0
8,2.0,4.0,4532982.69597786,-7.5420387338155095,1,0.0
8,3.0,2.0,4972924.799557383,1.431335465960597,10,60.0
8,3.0,3.0,4788001.287573659,-2.340496913494287,2,50.0
8,3.0,4.0,4433754.84597786,-9.56596102232707,1,0.0
9,1.0,2.0,4038048.2767363642,-17.63707558540892,21,33.33333333333333
9,1.0,3.0,4293107.380205328,-12.434707455910916,6,33.33333333333333
9,1.0,4.0,4524402.967752131,-7.7170370148971354,2,0.0
9,2.0,2.0,4250263.721195157,-13.308577406656333,13,38.46153846153847
9,2.0,3.0,4434241.609254858,-9.556032649944246,3,33.33333333333333
9,2.0,4.0,4537010.127818918,-7.459892349825754,1,0.0
9,3.0,2.0,4139467.536214843,-15.56845573984309,12,41.66666666666667
9,3.0,3.0,4326626.9557628315,-11.751018188509887,3,33.33333333333333
9,3.0,4.0,4446643.55004114,-9.303073784281473,1,0.0
10,1.0,2.0,3923320.9019767554,-19.97713728057202,25,32.0
10,1.0,3.0,4295867.464623415,-12.378410797543932,6,33.33333333333333
10,1.0,4.0,4557599.007807068,-7.039946809299524,3,33.33333333333333
10,2.0,2.0,4194421.233415647,-14.447580777815563,16,37.5
10,2.0,3.0,4445889.440953666,-9.31845513326875,3,33.33333333333333
10,2.0,4.0,4541149.022987737,-7.375472479980882,1,0.0
10,3.0,2.0,4017811.875227545,-18.04983172245077,15,26.666666666666668
10,3.0,3.0,4346884.957473016,-11.337821478292462,3,33.33333333333333
10,3.0,4.0,4458802.942987738,-9.055062098052355,1,0.0
11,1.0,2.0,3920353.880360662,-20.037654778223203,28,32.142857142857146
11,1.0,3.0,4253775.648538735,-13.236945621564738,7,28.57142857142857
11,1.0,4.0,4553824.159571112,-7.116941317197243,3,33.33333333333333
11,2.0,2.0,4253520.237230483,-13.242155173515203,18,38.88888888888889
11,2.0,3.0,4458466.402838055,-9.061926411951353,3,33.33333333333333
11,2.0,4.0,4543449.859851689,-7.328542963608402,1,0.0
11,3.0,2.0,4016152.372783964,-18.083680122707378,17,29.411764705882355
11,3.0,3.0,4366601.659107774,-10.935665512053978,3,33.33333333333333
11,3.0,4.0,4467464.587124418,-8.878393001388659,1,0.0
12,1.0,2.0,4098550.361267929,-16.40303174202378,30,36.666666666666664
12,1.0,3.0,4526280.735626532,-7.6787367166073786,8,50.0
12,1.0,4.0,4401690.883610763,-10.21996056069017,5,40.0
12,2.0,2.0,4453163.887936124,-9.170080303174267,17,41.17647058823529
12,2.0,3.0,4557305.907700209,-7.0459250889764125,4,50.0
12,2.0,4.0,4303474.006921862,-12.223262313561527,2,0.0
12,3.0,2.0,4081817.148271995,-16.744334337422977,18,33.33333333333333
12,3.0,3.0,4503544.812841133,-8.142474879585269,4,50.0
12,3.0,4.0,4174290.2208323805,-14.858187326859815,2,0.0
13,1.0,2.0,4036051.964861699,-17.677793792020825,32,34.375
